Model,Loss,Activation,Optimizer,Dropout,MSPE
Model_42,MAPE,LReLU,Adam,0.2,47582623.153006375
Model_41,MAPE,LReLU,Adam,0.1,58247246.85478442
Model_40,MAPE,LReLU,Adam,0.0,81934567.11098903
Model_49,MAPE,PReLU,Adam,0.0,495301464.9118324
Model_51,MAPE,PReLU,Adam,0.2,618747182.454042
Model_50,MAPE,PReLU,Adam,0.1,883310240.8422353
Model_48,MAPE,PReLU,Adadelta,0.2,1110412953.1770844
Model_45,MAPE,LReLU,AMSGrad,0.2,1641920191.6948674
Model_31,MAPE,ReLU,Adam,0.0,1788013403.204912
Model_30,MAPE,ReLU,Adadelta,0.2,1857674832.5355816
Model_44,MAPE,LReLU,AMSGrad,0.1,1967037211.2405684
Model_39,MAPE,LReLU,Adadelta,0.2,2301408903.469116
Model_36,MAPE,ReLU,AMSGrad,0.2,2903466030.9033103
Model_34,MAPE,ReLU,AMSGrad,0.0,5018661076.891157
Model_43,MAPE,LReLU,AMSGrad,0.0,5731405320.171115
Model_47,MAPE,PReLU,Adadelta,0.1,5739579405.567836
Model_37,MAPE,LReLU,Adadelta,0.0,5994404255.55804
Model_52,MAPE,PReLU,AMSGrad,0.0,6005404232.093419
Model_53,MAPE,PReLU,AMSGrad,0.1,6204385187.013573
Model_38,MAPE,LReLU,Adadelta,0.1,7642285484.218427
Model_54,MAPE,PReLU,AMSGrad,0.2,8402107267.916435
Model_35,MAPE,ReLU,AMSGrad,0.1,10535672659.041527
Model_46,MAPE,PReLU,Adadelta,0.0,127534414321.07289
Model_9,MSE,ReLU,AMSGrad,0.2,130933687015.01872
Model_2,MSE,ReLU,Adadelta,0.1,133389502427.7202
Model_6,MSE,ReLU,Adam,0.2,134209487596.1263
Model_8,MSE,ReLU,AMSGrad,0.1,134896079638.76678
Model_20,MSE,PReLU,Adadelta,0.1,140033887312.90717
Model_21,MSE,PReLU,Adadelta,0.2,140561541788.73077
Model_26,MSE,PReLU,AMSGrad,0.1,141838324994.66605
Model_12,MSE,LReLU,Adadelta,0.2,144302365698.4134
Model_11,MSE,LReLU,Adadelta,0.1,145667529845.77975
Model_3,MSE,ReLU,Adadelta,0.2,146902919720.21985
Model_5,MSE,ReLU,Adam,0.1,146946682929.72174
Model_27,MSE,PReLU,AMSGrad,0.2,146952201457.41476
Model_15,MSE,LReLU,Adam,0.2,148005780866.57996
Model_18,MSE,LReLU,AMSGrad,0.2,149514033389.8937
Model_10,MSE,LReLU,Adadelta,0.0,150536241228.09055
Model_19,MSE,PReLU,Adadelta,0.0,150839443380.53656
Model_16,MSE,LReLU,AMSGrad,0.0,151952897031.41003
Model_24,MSE,PReLU,Adam,0.2,153345313754.14352
Model_14,MSE,LReLU,Adam,0.1,154199919349.8278
Model_7,MSE,ReLU,AMSGrad,0.0,161991397430.23404
Model_25,MSE,PReLU,AMSGrad,0.0,162305179486.13098
Model_13,MSE,LReLU,Adam,0.0,163017301943.67447
Model_1,MSE,ReLU,Adadelta,0.0,163371784095.84222
Model_4,MSE,ReLU,Adam,0.0,174789728337.06012
Model_22,MSE,PReLU,Adam,0.0,180023507101.32883
Model_23,MSE,PReLU,Adam,0.1,180089522114.78967
Model_17,MSE,LReLU,AMSGrad,0.1,182107424390.39474
Model_28,MAPE,ReLU,Adadelta,0.0,2296983038018.117
Model_29,MAPE,ReLU,Adadelta,0.1,4112457678125.6655
Model_32,MAPE,ReLU,Adam,0.1,11468851147244.768
Model_33,MAPE,ReLU,Adam,0.2,2.610147468867132e+17
