Model,Loss,Activation,Optimizer,Dropout,Pollutant,MSPE
Model_3,MAPE,LReLU,Adam,0.2,CO2,136707.26410256527
Model_7,MAPE,PReLU,Adam,0.2,CO2,383273.60840518266
Model_2,MAPE,LReLU,Adam,0.2,CO,776424.0980056452
Model_6,MAPE,PReLU,Adam,0.2,CO,776424.0980056452
Model_1,MAPE,LReLU,Adam,0.2,HC,780146.6132617018
Model_5,MAPE,PReLU,Adam,0.2,HC,780146.6132617018
Model_4,MAPE,LReLU,Adam,0.2,NOX,392231283943.1005
Model_8,MAPE,PReLU,Adam,0.2,NOX,5369867634449.076
Model_11,R2,LReLU,Adam,0.2,CO2,4.521209683150216e+19
Model_15,R2,PReLU,Adam,0.2,CO2,4.9491858317909115e+19
Model_10,R2,LReLU,Adam,0.2,CO,5.28720613550398e+24
Model_14,R2,PReLU,Adam,0.2,CO,5.438584442494768e+24
Model_9,R2,LReLU,Adam,0.2,HC,5.867493794354806e+25
Model_13,R2,PReLU,Adam,0.2,HC,6.087464940323871e+25
Model_12,R2,LReLU,Adam,0.2,NOX,3.222578800056179e+26
Model_16,R2,PReLU,Adam,0.2,NOX,3.327280502176508e+26
