,Model,Version,Activation,Min,Mean,Max,MSPE
13,5,2,LReLU,114.01387786865234,174.9091033935547,324.2829284667969,111911.22939262893
12,5,1,ReLU,137.83905029296875,182.74046325683594,428.153564453125,116047.69858639475
14,5,3,PReLU,64.7955093383789,179.02676391601562,344.4326171875,142358.79233243997
10,4,2,LReLU,110.62399291992188,217.89378356933594,429.6866149902344,184649.34943607406
7,3,2,LReLU,119.01689147949219,223.67564392089844,420.57733154296875,188933.19891769942
1,1,2,LReLU,81.87137603759766,219.95802307128906,442.6750793457031,199656.45365035164
6,3,1,ReLU,118.26435852050781,223.50364685058594,422.9992370605469,201681.20774035476
4,2,2,LReLU,131.3826904296875,225.40032958984375,465.7449035644531,202613.77448531505
9,4,1,ReLU,113.64618682861328,223.5266876220703,494.4101257324219,205476.2887867144
8,3,3,PReLU,104.28065490722656,224.55471801757812,495.2619934082031,208668.67783014497
0,1,1,ReLU,99.30347442626953,224.809326171875,498.90496826171875,213583.95914578578
3,2,1,ReLU,95.83057403564453,223.29763793945312,561.5504760742188,216526.39859607248
2,1,3,PReLU,92.81214141845703,224.6474609375,499.5002136230469,221675.89538545354
11,4,3,PReLU,103.64909362792969,224.3245086669922,478.5487365722656,223613.68572440677
5,2,3,PReLU,98.23882293701172,226.52549743652344,535.4755249023438,228639.2798022516
17,6,3,PReLU,63.1646728515625,99.077392578125,398.76458740234375,245173.65649159686
16,6,2,LReLU,43.995948791503906,51.470516204833984,323.3177795410156,446080.51716550736
15,6,1,ReLU,-2922.492919921875,119.07524871826172,10664.197265625,1298203.678749897
