,Model,Version,Activation,Min,Mean,Max,MSPE
17,6,3,PReLU,-0.3255235254764557,0.04068700224161148,0.06355056166648865,29539126.226793632
13,5,2,LReLU,-0.018727663904428482,0.04077332839369774,0.8214801549911499,47469802.76799193
15,6,1,ReLU,0.06588375568389893,0.06588375568389893,0.06588375568389893,50752264.71384752
14,5,3,PReLU,-0.009152371436357498,0.03316326439380646,0.6116592884063721,69479695.18779586
16,6,2,LReLU,-0.28190311789512634,0.09656094759702682,0.10792341828346252,120119069.58078377
12,5,1,ReLU,-0.383532851934433,0.0020541935227811337,2.965782642364502,229803285.37412256
7,3,2,LReLU,0.1396506130695343,0.543198823928833,2.6103477478027344,5252453549.401681
8,3,3,PReLU,0.07078266143798828,0.5240002274513245,3.499678134918213,5615307203.906211
2,1,3,PReLU,-0.06479931622743607,0.48482173681259155,4.9221296310424805,5619817407.572554
1,1,2,LReLU,0.017391156405210495,0.543129026889801,3.2786219120025635,5814675508.012707
4,2,2,LReLU,-0.04205130413174629,0.5245325565338135,3.618989944458008,5925598804.462491
0,1,1,ReLU,0.00437105493620038,0.5188578367233276,3.897082567214966,5996631023.412478
5,2,3,PReLU,0.09350676089525223,0.5330983996391296,4.863816261291504,6175379231.282641
3,2,1,ReLU,0.026206057518720627,0.5210558176040649,3.9139885902404785,6230175597.768401
11,4,3,PReLU,-18.881237030029297,-10.16734504699707,-4.7871503829956055,1299895801485.5974
10,4,2,LReLU,-15.99420166015625,-12.282608032226562,-9.948015213012695,1813491439489.1802
9,4,1,ReLU,-58.0111198425293,-20.815155029296875,-7.3654608726501465,5728122320925.459
6,3,1,ReLU,-51.221580505371094,-22.68716049194336,-6.560156345367432,6654960711137.176
