,Model,Version,Activation,Min,Mean,Max,MSPE
15,6,1,ReLU,-0.004199170973151922,-0.004199170973151922,-0.004199170973151922,585076795.5661373
17,6,3,PReLU,-0.09758872538805008,-0.004533539526164532,0.0035832959692925215,1638578002.2742734
16,6,2,LReLU,-0.0800008550286293,-0.010368525050580502,-0.008332009427249432,4300738428.992383
13,5,2,LReLU,-0.0010573387844488025,0.008764712139964104,0.12898917496204376,6662211196.382748
12,5,1,ReLU,-0.00038655154639855027,0.008593383245170116,0.11668136715888977,6821503577.154006
14,5,3,PReLU,-0.002705035964027047,0.0078872786834836,0.10025270283222198,8056338449.852411
7,3,2,LReLU,0.00921634491533041,0.05189109593629837,0.25386565923690796,143907677082.9313
10,4,2,LReLU,0.001805572770535946,0.04795381799340248,0.259021133184433,145067472901.51746
6,3,1,ReLU,0.005605901125818491,0.049347296357154846,0.26780954003334045,147676236325.40704
4,2,2,LReLU,0.004850849509239197,0.051061756908893585,0.28877177834510803,152152676084.91528
0,1,1,ReLU,-0.008446993306279182,0.050106555223464966,0.35782986879348755,154780921091.70963
2,1,3,PReLU,-0.009178763255476952,0.048948511481285095,0.34612974524497986,155109325185.29617
5,2,3,PReLU,0.005482301115989685,0.04987051710486412,0.2930966913700104,155709448666.10236
8,3,3,PReLU,0.004350157454609871,0.050757504999637604,0.3130033612251282,156928244954.34137
3,2,1,ReLU,0.0028990425635129213,0.04935479909181595,0.3285562992095947,159323733841.71106
1,1,2,LReLU,-0.006741044577211142,0.05277542024850845,0.3263125717639923,167289335587.21637
11,4,3,PReLU,0.002382672159001231,0.05167597532272339,0.3252216875553131,169551063359.25238
9,4,1,ReLU,-4.086848258972168,-1.2383345365524292,-0.44762206077575684,56074202472317.57
